Varible Name,Type,Width,Decimals,Label,Values,
Rownumber,Numeric,6,0,Row Number with first digit indicating Wave (non-sequentiial across waves),None,
WW_Weight,Numeric,11,9,Weighting Variable to balance males and females within teen and adult quota groups within countries,None,
Wave,Numeric,1,0,"Survey Wave. Annual survey wave number starting with 2016=1, ending with 2021=6","{1, 2016, 2=2017, 3=2018, 4=2019, 5=2020, 6=2021)",
Country,Numeric,2,0,Respondents Country,"1=US, 2=Australia, 3=Belgium, 4=Brazil, 6=France, 7=Germany, 8=India, 9=Mexico, 10=Russia, 11=South Africa, 12=Turkey, 13=UK, 14=Chile, 15=Argentina, 16=Colombia, 17=Hungary, 18=Italy, 20=Malaysia, 21=Vietnam, 22=Ireland, 23=Peru, 24=Canada, 25=Singapore",
S2_Gender,Numeric,1,0,S2: Are you…,"{1, Male, 2=female)",
AgeGroupings,Numeric,1,0,Respondent Age Groups,"1=13-17, 2=18-24, 3=25-34, 4=35-44, 5=45-54, 6=55-64, 7=65-74",
Adult_teen_by_Gender,Numeric,1,0,Adult vs Teen by Gender,"{1, Adult Male, 2=adult female, 3=teen male, 4=teen female)",
Q2A_Doxxing,Numeric,1,0,"Q2A: Happened to me - Doxxing: The process of collecting and distributing or posting information about a person (e.g., name, age, email, address, telephone number, photographs, etc.) without their permission","{0, NO TO: Happened to me; 1=happened to me)",
Q2B_Swatting,Numeric,1,0,"Q2B: Happened to me - Swatting: The act of deceiving emergency services (e.g., police, fire, medical) into sending an emergency response based on the false report of an ongoing critical incident or crime","{0, NO TO: Happened to me; 1=happened to me)",
Q2C_Hate_speech,Numeric,1,0,Q2C: Happened to me - Hate speech - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2D_Revenge_porn,Numeric,1,0,Q2D: Happened to me - Revenge pornography - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2E_Sextortion,Numeric,1,0,Q2E: Happened to me - Sextortion - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2F_Cyberbullying,Numeric,1,0,Q2F: Happened to me - Cyberbullying - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2G_Treated_Mean,Numeric,1,0,Q2G: Happened to me - Treated Mean - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2H_Trolling,Numeric,1,0,"Q2H: Happened to me - Trolling: A deliberate act to make someone mad or angry using online or social media comments in a clever, but deceitful manner.","{0, NO TO: Happened to me; 1=happened to me)",
Q2I_Discrimination,Numeric,1,0,Q2I: Happened to me - Discrimination - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2J_Unwanted_sexting_sent,Numeric,1,0,Q2J: Happened to me - Unwanted Sexting Sent - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2K_Unwanted_sexting_received,Numeric,1,0,Q2K: Happened to me - Unwanted Sexting Received - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2L_Sexual_solicitation,Numeric,1,0,Q2L: Happened to me - Sexual solicitation - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2M_Terrorism_recruiting,Numeric,1,0,Q2M: Happened to me - Terrorism recruiting - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2N_Unwanted_contact,Numeric,1,0,Q2N: Happened to me - Unwanted contact - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2O_Damage_personal_rep,Numeric,1,0,Q2O: Happened to me - Damage to Personal reputation - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2P_Damage_to_work_rep,Numeric,1,0,Q2P: Happened to me - Damage to Professional/Work reputation - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2Q_Online_harassment,Numeric,1,0,Q2Q: Happened to me - Online harassment - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2R_Hoaxes_scams,Numeric,1,0,"Q2R: Happened to me - Hoaxes, scams, frauds - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.","{0, NO TO: Happened to me; 1=happened to me)",
Q2S_Microaggression,Numeric,1,0,Q2S: Happened to me - Microaggression - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2T_Misogyny,Numeric,1,0,Q2T: Happened to me - Misogyny - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
Q2U_Unwanted_sexual_attention,Numeric,1,0,Q2U: Happened to me - Unwanted sexual attention - Which of these has ever happened to you or to a friend/family member ONLINE? Click on or move your cursor over any of the individual terms below to see a more detailed description.,"{0, NO TO: Happened to me; 1=happened to me)",
DCI_any_happened_me,Numeric,1,0,Net: personally experienced any online incivility in Q2,"{1, Yes; 2=no)",
Q2ar1_Risk_Source,Numeric,1,0,"Q2ar1: Family - Which types of people have, in the past treated you or people you know in an unsafe or uncivil manner online? Select all that apply.","{0, NO TO: Family. 1, yes to faimily)",
